"carid","brand","model","accel","topspeed","range","efficiency","fastcharge","rapidcharge","powertrain","plugtype","bodystyle","segment","seats","priceeuro","TopSpeedKPH"
2,"Volkswagen","ID.3 Pure","10.0 sec",160,"270 km","167 Wh/km","250 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","C",5,30000,160
9,"Tesla","Model 3 Standard Range Plus","5.6 sec",225,"310 km","153 Wh/km","650 km/h","Rapid charging possible","RWD","Type 2 CCS","Sedan","D",5,46380,225
16,"Volkswagen","ID.3 Pro S","7.9 sec",160,"440 km","175 Wh/km","590 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","C",4,40936,160
23,"Skoda","Enyaq iV 50","10.0 sec",160,"290 km","179 Wh/km","230 km/h","Rapid charging possible","RWD","Type 2 CCS","SUV","C",5,35000,160
27,"Volkswagen","ID.3 Pro","9.0 sec",160,"350 km","166 Wh/km","490 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","C",5,33000,160
29,"BMW","i3 120 Ah","7.3 sec",150,"235 km","161 Wh/km","270 km/h","Rapid charging possible","RWD","Type 2 CCS","Hatchback","B",4,38017,150
13,"Hyundai","Kona Electric 64 kWh","7.9 sec",167,"400 km","160 Wh/km","380 km/h","Rapid charging possible","FWD","Type 2 CCS","SUV","B",5,40795,167
15,"Hyundai","IONIQ Electric","9.7 sec",165,"250 km","153 Wh/km","210 km/h","Rapid charging possible","FWD","Type 2 CCS","Liftback","C",5,34459,165
51,"Audi","e-tron 55 quattro","5.7 sec",200,"365 km","237 Wh/km","590 km/h","Rapid charging possible","AWD","Type 2 CCS","SUV","E",5,79445,200
55,"Tesla","Model X Long Range","4.6 sec",250,"450 km","211 Wh/km","490 km/h","Rapid charging possible","AWD","Type 2","SUV","F",7,85990,250
60,"Tesla","Model S Performance","2.5 sec",261,"505 km","188 Wh/km","550 km/h","Rapid charging possible","AWD","Type 2","Liftback","F",5,96990,261
