,SalePrice,SalePrice (formatted),Neighborhood,Year Built
0,215000,"$215,000",NAmes,1960
1,105000,"$105,000",NAmes,1961
2,172000,"$172,000",NAmes,1958
3,244000,"$244,000",NAmes,1968
4,189900,"$189,900",Gilbert,1997
5,195500,"$195,500",Gilbert,1998
6,213500,"$213,500",StoneBr,2001
7,191500,"$191,500",StoneBr,1992
8,236500,"$236,500",StoneBr,1995
9,189000,"$189,000",Gilbert,1999
10,175900,"$175,900",Gilbert,1993
11,185000,"$185,000",Gilbert,1992
12,180400,"$180,400",Gilbert,1998
13,171500,"$171,500",Gilbert,1990
14,212000,"$212,000",StoneBr,1985
15,538000,"$538,000",StoneBr,2003
16,164000,"$164,000",Gilbert,1988
17,394432,"$394,432",StoneBr,2010
18,141000,"$141,000",Gilbert,1951
19,210000,"$210,000",NWAmes,1978
20,190000,"$190,000",NWAmes,1977
21,170000,"$170,000",NWAmes,1974
22,216000,"$216,000",Somerst,2000
23,149000,"$149,000",NAmes,1970
24,149900,"$149,900",NAmes,1971
25,142000,"$142,000",NAmes,1968
26,126000,"$126,000",NAmes,1970
27,115000,"$115,000",NAmes,1971
28,184000,"$184,000",NAmes,1999
29,96000,"$96,000",BrDale,1971
30,105500,"$105,500",BrDale,1971
31,88000,"$88,000",BrDale,1971
32,127500,"$127,500",NPkVill,1977
33,149900,"$149,900",NPkVill,1975
34,120000,"$120,000",NPkVill,1975
35,146000,"$146,000",NPkVill,1978
36,376162,"$376,162",NridgHt,2009
37,306000,"$306,000",NridgHt,2007
38,395192,"$395,192",NridgHt,2009
39,290941,"$290,941",NridgHt,2009
40,220000,"$220,000",NridgHt,2005
41,275000,"$275,000",NridgHt,2005
42,259000,"$259,000",NridgHt,2005
43,214000,"$214,000",NridgHt,2004
44,611657,"$611,657",NridgHt,2009
45,224000,"$224,000",NridgHt,2009
46,500000,"$500,000",NridgHt,2003
47,320000,"$320,000",NridgHt,2002
48,319900,"$319,900",NridgHt,2005
49,205000,"$205,000",NridgHt,2006
50,175500,"$175,500",NridgHt,2003
51,199500,"$199,500",Gilbert,2005
52,160000,"$160,000",Blmngtn,2006
53,192000,"$192,000",Blmngtn,2004
54,184500,"$184,500",Gilbert,2004
55,216500,"$216,500",Gilbert,2002
56,185088,"$185,088",Gilbert,2004
57,180000,"$180,000",Gilbert,2000
58,222500,"$222,500",Gilbert,2001
59,333168,"$333,168",NoRidge,1999
60,355000,"$355,000",NoRidge,1998
61,260400,"$260,400",NoRidge,1996
62,325000,"$325,000",NoRidge,1994
63,290000,"$290,000",NoRidge,1999
64,221000,"$221,000",NoRidge,1998
65,410000,"$410,000",NoRidge,1995
66,221500,"$221,500",Somerst,2005
67,204500,"$204,500",Somerst,2009
68,215200,"$215,200",Somerst,2009
69,262500,"$262,500",Somerst,2008
70,254900,"$254,900",Somerst,2004
71,271500,"$271,500",Somerst,2005
72,233000,"$233,000",SawyerW,2004
73,181000,"$181,000",SawyerW,2004
74,205000,"$205,000",SawyerW,1994
75,143000,"$143,000",SawyerW,1980
76,189000,"$189,000",SawyerW,1992
77,99500,"$99,500",SawyerW,1979
78,125000,"$125,000",SawyerW,1984
79,194500,"$194,500",SawyerW,1993
80,152000,"$152,000",SawyerW,1984
81,171000,"$171,000",SawyerW,1980
82,67500,"$67,500",SawyerW,1920
83,112000,"$112,000",Sawyer,1978
84,148000,"$148,000",Sawyer,1961
85,138500,"$138,500",Sawyer,1965
86,122000,"$122,000",Sawyer,1967
87,133000,"$133,000",Sawyer,1963
88,127000,"$127,000",Sawyer,1962
89,169000,"$169,000",Sawyer,1974
90,190000,"$190,000",NoRidge,1992
91,362500,"$362,500",NoRidge,1993
92,285000,"$285,000",NoRidge,1992
93,260000,"$260,000",Somerst,2004
94,190000,"$190,000",Somerst,2004
95,155000,"$155,000",Somerst,2004
96,151000,"$151,000",Somerst,2004
97,149500,"$149,500",Somerst,2004
98,152000,"$152,000",Somerst,2005
99,222000,"$222,000",Somerst,2009
100,177500,"$177,500",Somerst,2000
101,177000,"$177,000",Somerst,2000
102,155000,"$155,000",Somerst,1999
103,147110,"$147,110",Somerst,2003
104,267916,"$267,916",Somerst,2010
105,254000,"$254,000",Somerst,2000
106,155000,"$155,000",Greens,1980
107,206000,"$206,000",Greens,1978
108,130500,"$130,500",Sawyer,1976
109,230000,"$230,000",Somerst,2002
110,218500,"$218,500",NWAmes,1967
111,243500,"$243,500",NWAmes,1993
112,205000,"$205,000",NWAmes,1977
113,212500,"$212,500",NWAmes,1978
114,196500,"$196,500",NWAmes,1988
115,197500,"$197,500",NWAmes,1972
116,171000,"$171,000",NWAmes,1971
117,142250,"$142,250",NAmes,1966
118,143000,"$143,000",NWAmes,1963
119,128950,"$128,950",NAmes,1959
120,159000,"$159,000",NAmes,1966
121,178900,"$178,900",NAmes,1967
122,136300,"$136,300",NAmes,1964
123,180500,"$180,500",NAmes,1964
124,137500,"$137,500",NAmes,1963
125,84900,"$84,900",NAmes,1962
126,142125,"$142,125",NAmes,1950
127,197600,"$197,600",NAmes,1952
128,172500,"$172,500",NAmes,1949
129,116500,"$116,500",BrkSide,1958
130,76500,"$76,500",BrkSide,1940
131,128000,"$128,000",NAmes,1954
132,153000,"$153,000",NAmes,1955
133,132000,"$132,000",NAmes,1954
134,178000,"$178,000",NAmes,1966
135,154300,"$154,300",NAmes,1960
136,180000,"$180,000",NAmes,1970
137,190000,"$190,000",NAmes,1966
138,135000,"$135,000",NAmes,1958
139,214000,"$214,000",NAmes,2003
140,136000,"$136,000",NAmes,1959
141,165500,"$165,500",NAmes,1959
142,145000,"$145,000",NAmes,1957
143,148000,"$148,000",NAmes,1959
144,142000,"$142,000",NAmes,1959
145,167500,"$167,500",NAmes,1960
146,108538,"$108,538",NAmes,1959
147,159500,"$159,500",NAmes,1959
148,108000,"$108,000",NAmes,1956
149,135000,"$135,000",NAmes,1952
150,122500,"$122,500",NAmes,1955
151,119000,"$119,000",NAmes,1958
152,109000,"$109,000",NAmes,1953
153,105000,"$105,000",NAmes,1920
154,107500,"$107,500",NAmes,1955
155,144900,"$144,900",NAmes,1954
156,129000,"$129,000",NAmes,1956
157,97500,"$97,500",NAmes,1948
158,144000,"$144,000",OldTown,1980
159,162000,"$162,000",NAmes,1959
160,242000,"$242,000",NAmes,1967
161,132000,"$132,000",NAmes,1948
162,154000,"$154,000",NAmes,1959
163,166000,"$166,000",NAmes,1952
164,134800,"$134,800",NAmes,1951
165,160000,"$160,000",NAmes,1962
166,148000,"$148,000",NAmes,1960
167,192000,"$192,000",NAmes,1963
168,155000,"$155,000",NAmes,1966
169,80400,"$80,400",OldTown,1900
170,96500,"$96,500",OldTown,1910
171,109500,"$109,500",OldTown,1920
172,115000,"$115,000",OldTown,1927
173,143000,"$143,000",OldTown,1957
174,107400,"$107,400",OldTown,1915
175,80000,"$80,000",OldTown,1945
176,119000,"$119,000",OldTown,1940
177,130000,"$130,000",OldTown,1929
178,119000,"$119,000",OldTown,1938
179,129000,"$129,000",OldTown,1948
180,100000,"$100,000",OldTown,1920
181,12789,"$12,789",OldTown,1923
182,105900,"$105,900",OldTown,1928
183,150000,"$150,000",OldTown,1900
184,139000,"$139,000",OldTown,1915
185,240000,"$240,000",OldTown,1890
186,76500,"$76,500",OldTown,1910
187,149700,"$149,700",OldTown,1957
188,125500,"$125,500",OldTown,1910
189,122500,"$122,500",OldTown,1885
190,140750,"$140,750",OldTown,1922
191,128500,"$128,500",BrkSide,1950
192,209500,"$209,500",BrkSide,1922
193,87000,"$87,000",BrkSide,1925
194,134000,"$134,000",BrkSide,1939
195,128000,"$128,000",BrkSide,1940
196,132000,"$132,000",BrkSide,1942
197,139900,"$139,900",BrkSide,1948
198,123900,"$123,900",BrkSide,1936
199,138400,"$138,400",BrkSide,1930
200,109500,"$109,500",OldTown,1923
201,140000,"$140,000",OldTown,1921
202,149500,"$149,500",OldTown,1915
203,159900,"$159,900",OldTown,1912
204,122000,"$122,000",OldTown,1920
205,110000,"$110,000",IDOTRR,1963
206,55000,"$55,000",IDOTRR,1930
207,140000,"$140,000",OldTown,1900
208,244400,"$244,400",ClearCr,1940
209,173000,"$173,000",ClearCr,1959
210,107500,"$107,500",ClearCr,1917
211,100000,"$100,000",SWISU,1915
212,95000,"$95,000",SWISU,1940
213,93369,"$93,369",SWISU,1907
214,114900,"$114,900",SWISU,1910
215,94000,"$94,000",Sawyer,1875
216,136000,"$136,000",Sawyer,1967
217,136500,"$136,500",Sawyer,1968
218,131500,"$131,500",Sawyer,1965
219,121500,"$121,500",Sawyer,1957
220,125000,"$125,000",Sawyer,1967
221,154000,"$154,000",Sawyer,1968
222,137900,"$137,900",Sawyer,1966
223,158000,"$158,000",Sawyer,1969
224,137250,"$137,250",Sawyer,1968
225,160250,"$160,250",Sawyer,1978
226,163000,"$163,000",Sawyer,1968
227,158900,"$158,900",Sawyer,1978
228,328000,"$328,000",ClearCr,1996
229,270000,"$270,000",ClearCr,1977
